,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,24,TL,1547521334,90,-8.93,125.41,79.63,1.25
1,deloraine,64,CA,1547521335,86,49.18,-100.5,14.38,13
2,acapulco,20,MX,1547516880,74,16.86,-99.88,82.4,9.17
3,bemidji,90,US,1547519700,93,47.48,-94.89,15.8,3.36
4,kapaa,1,US,1547517360,62,22.08,-159.32,80.96,11.41
5,east london,32,ZA,1547521338,100,-33.02,27.91,72.07,3.04
6,pindi gheb,0,PK,1547521239,70,33.24,72.27,30.22,2.37
7,hithadhoo,88,MV,1547521338,100,-0.6,73.08,82.33,4.16
8,ushuaia,75,AR,1547517600,76,-54.81,-68.31,51.8,5.82
9,muisne,56,EC,1547521339,96,0.61,-80.02,70.72,2.82
10,norman wells,20,CA,1547517600,69,65.28,-126.83,-11.21,6.93
11,qaanaaq,0,GL,1547521340,100,77.48,-69.36,-28.1,9.19
12,rikitea,92,PF,1547521340,97,-23.12,-134.97,80.62,10.76
13,leopold,90,US,1547519700,82,38.1,-86.58,33.08,4.16
14,guerrero negro,0,MX,1547521341,96,27.97,-114.04,58.75,5.73
15,cape town,0,ZA,1547517600,82,-33.93,18.42,60.8,2.24
16,tir pol,,,,,,,,
17,punta arenas,75,CL,1547517600,66,-53.16,-70.91,55.4,8.05
18,sola,90,FI,1547520600,92,62.78,29.36,26.6,9.17
19,busselton,0,AU,1547520926,89,-33.64,115.35,70.9,13
20,port alfred,0,ZA,1547521342,98,-33.59,26.89,66.49,4.38
21,hami,48,CN,1547521343,70,42.84,93.51,22.93,6.17
22,akyab,,,,,,,,
23,kaitangata,20,NZ,1547520964,86,-46.28,169.85,63.52,5.61
24,bluff,0,AU,1547521343,40,-23.58,149.07,93.13,11.43
25,albany,40,US,1547520720,64,42.65,-73.75,19.4,2.93
26,batagay-alyta,8,RU,1547521173,0,67.8,130.41,-56.99,2.59
27,mataura,0,NZ,1547521344,66,-46.19,168.86,67.21,8.08
28,athabasca,20,CA,1547521236,85,54.72,-113.29,24.64,10.65
29,vaitupu,,,,,,,,
30,tabiauea,,,,,,,,
31,council bluffs,90,US,1547520900,93,41.26,-95.86,34.16,2.93
32,barbar,,,,,,,,
33,atuona,68,PF,1547521346,100,-9.8,-139.03,81.25,15.68
34,dunedin,80,NZ,1547521180,86,-45.87,170.5,60.37,3.94
35,la orilla,12,MX,1547521346,100,18,-102.23,74.41,4.16
36,nayudupeta,40,IN,1547519400,82,13.91,79.9,64.4,2.24
37,khatanga,80,RU,1547521347,49,71.98,102.47,-16.76,17.69
38,tunceli,90,TR,1547517000,86,39.11,39.55,37.4,9.17
